destination_name,country,state_or_region,destination_type,budget_level,avg_trip_cost_inr,recommended_duration_days,rating,best_season,suitable_for,activities,popularity_score
Gopalpur-on-Sea,India,Odisha,Beach,Medium,31500,6,4.0,Oct-Mar,"Friends, Couple","Island hopping, Sunbathing, Parasailing, Jet skiing, Sunset cruise, Snorkeling",36
Kanyakumari,India,Tamil Nadu,Beach,Low,15000,3,4.1,Oct-Mar,"Family, Friends, Honeymoon","Parasailing, Scuba diving, Jet skiing, Beach parties, Snorkeling",56
Mandarmani,India,West Bengal,Beach,Medium,18000,3,4.0,Oct-Mar,"Couple, Friends, Family","Parasailing, Beach parties, Island hopping, Sunset cruise, Seafood tasting, Scuba diving",56
Bekal,India,Kerala,Beach,Low,21000,5,4.0,Oct-Mar,"Family, Friends, Honeymoon","Sunset cruise, Scuba diving, Water sports, Island hopping, Snorkeling, Sunbathing",47
Manali,India,Himachal Pradesh,Mountain,Medium,34000,7,4.9,Mar-Jun & Sep-Nov,"Friends, Adventure, Solo","Camping, Photography, Nature walks, Trekking",97
Shimla,India,Himachal Pradesh,Mountain,Medium,34000,7,4.7,Mar-Jun & Sep-Nov,"Family, Couple, Adventure, Solo","Camping, Cable car rides, Photography, Local sightseeing, Skiing, Bonfire nights",95
Dalhousie,India,Himachal Pradesh,Mountain,Medium,19500,4,3.7,Mar-Jun & Sep-Nov,"Family, Solo, Couple","Skiing, Valley sightseeing, Cable car rides, Bonfire nights",30
Dharamshala,India,Himachal Pradesh,Mountain,Medium,27000,4,3.9,Mar-Jun & Sep-Nov,"Friends, Solo, Couple, Family","Local sightseeing, Paragliding, Nature walks, Bonfire nights, Camping",79
McLeod Ganj,India,Himachal Pradesh,Mountain,Low,15500,5,4.3,Mar-Jun & Sep-Nov,"Friends, Couple, Family","Bonfire nights, Local sightseeing, Valley sightseeing, Paragliding, Trekking, Photography",64
Kasol,India,Himachal Pradesh,Mountain,Low,15500,5,4.2,Mar-Jun & Sep-Nov,"Family, Adventure","Camping, Bonfire nights, Local sightseeing, Photography, Paragliding",75
Spiti Valley,India,Himachal Pradesh,Mountain,Medium,42000,7,4.4,Mar-Jun & Sep-Nov,"Friends, Solo, Couple","Bonfire nights, Nature walks, Trekking, Photography",72
Kufri,India,Himachal Pradesh,Mountain,Medium,19500,4,3.8,Mar-Jun & Sep-Nov,"Friends, Family, Adventure, Solo","Valley sightseeing, Camping, Skiing, Nature walks, Paragliding",48
Nainital,India,Uttarakhand,Mountain,Medium,28500,5,4.3,Mar-Jun & Sep-Nov,"Friends, Couple, Solo","Cable car rides, Local sightseeing, Bonfire nights, Photography, Paragliding",87
Mussoorie,India,Uttarakhand,Mountain,Medium,30000,4,5.0,Mar-Jun & Sep-Nov,"Friends, Adventure, Family, Couple","Nature walks, Cable car rides, Bonfire nights, Valley sightseeing, Photography",93
Auli,India,Uttarakhand,Mountain,Medium,27000,4,4.0,Mar-Jun & Sep-Nov,"Solo, Adventure, Friends, Family","Skiing, Cable car rides, Trekking, Nature walks, Photography, Valley sightseeing",57
Kausani,India,Uttarakhand,Mountain,Low,17500,7,3.9,Mar-Jun & Sep-Nov,"Adventure, Solo","Skiing, Photography, Bonfire nights, Local sightseeing",41
Almora,India,Uttarakhand,Mountain,Low,15000,6,4.0,Mar-Jun & Sep-Nov,"Friends, Adventure, Couple","Valley sightseeing, Local sightseeing, Bonfire nights, Paragliding",58
Lansdowne,India,Uttarakhand,Mountain,Medium,19500,4,3.8,Mar-Jun & Sep-Nov,"Couple, Solo, Adventure, Friends","Cable car rides, Skiing, Bonfire nights, Valley sightseeing, Trekking, Local sightseeing",34
Chopta,India,Uttarakhand,Mountain,Medium,19500,4,4.2,Mar-Jun & Sep-Nov,"Friends, Adventure, Couple","Trekking, Photography, Nature walks, Cable car rides, Bonfire nights",46
Leh,India,Ladakh,Mountain,Medium,34000,7,4.8,Mar-Jun & Sep-Nov,"Couple, Adventure, Solo, Family","Photography, Cable car rides, Skiing, Paragliding",96
Nubra Valley,India,Ladakh,Mountain,Low,15500,5,4.4,Mar-Jun & Sep-Nov,"Couple, Solo, Adventure","Camping, Cable car rides, Trekking, Valley sightseeing",71
Pangong Lake,India,Ladakh,Mountain,Medium,27000,4,4.3,Mar-Jun & Sep-Nov,"Couple, Solo, Family","Bonfire nights, Camping, Cable car rides, Local sightseeing",58
Darjeeling,India,West Bengal,Mountain,Medium,34000,7,4.4,Mar-Jun & Sep-Nov,"Couple, Friends, Adventure, Family","Trekking, Bonfire nights, Local sightseeing, Nature walks",87
Gangtok,India,Sikkim,Mountain,Medium,42000,7,4.4,Mar-Jun & Sep-Nov,"Couple, Adventure, Solo","Camping, Trekking, Local sightseeing, Paragliding",78
Pelling,India,Sikkim,Mountain,Medium,19500,4,3.8,Mar-Jun & Sep-Nov,"Couple, Solo, Friends, Adventure","Camping, Trekking, Valley sightseeing, Paragliding, Photography, Bonfire nights",55
Yumthang Valley,India,Sikkim,Mountain,Medium,19500,4,3.5,Mar-Jun & Sep-Nov,"Family, Couple, Adventure, Friends","Photography, Skiing, Trekking, Cable car rides",32
Tawang,India,Arunachal Pradesh,Mountain,Low,15500,5,4.0,Mar-Jun & Sep-Nov,"Adventure, Couple","Cable car rides, Bonfire nights, Camping, Skiing",58
Munnar,India,Kerala,Mountain,High,59000,6,4.4,Oct-Mar,"Friends, Couple, Solo","Photography, Nature walks, Trekking, Bonfire nights, Paragliding, Valley sightseeing",89
Ooty,India,Tamil Nadu,Mountain,Medium,34000,7,4.4,Oct-Mar,"Family, Couple","Cable car rides, Camping, Local sightseeing, Photography",94
Kodaikanal,India,Tamil Nadu,Mountain,Low,15500,5,4.0,Oct-Mar,"Family, Couple, Solo","Nature walks, Skiing, Bonfire nights, Paragliding, Camping",56
Coorg,India,Karnataka,Mountain,High,59000,6,4.5,Oct-Mar,"Couple, Family, Friends, Solo","Cable car rides, Trekking, Photography, Skiing, Paragliding, Camping",89
Chikmagalur,India,Karnataka,Mountain,Low,15500,5,4.1,Oct-Mar,"Couple, Family, Friends, Adventure","Skiing, Trekking, Cable car rides, Photography, Camping, Bonfire nights",79
Yercaud,India,Tamil Nadu,Mountain,Medium,19500,4,4.0,Oct-Mar,"Family, Solo, Friends, Adventure","Skiing, Camping, Local sightseeing, Valley sightseeing, Paragliding",52
Valley of Flowers,India,Uttarakhand,Nature,Medium,26500,5,4.3,Mar-Jun & Sep-Nov,"Solo, Family","Boating, Picnicking, Camping, Bird watching",71
Cherrapunji,India,Meghalaya,Nature,Medium,11500,2,4.1,Mar-Jun & Sep-Nov,"Solo, Family","Trekking, Eco-tourism, Photography, Sightseeing, Waterfall visits",63
Shillong,India,Meghalaya,Nature,Medium,23000,4,4.1,Mar-Jun & Sep-Nov,"Friends, Solo","Bird watching, Waterfall visits, Camping, Eco-tourism",61
Dawki,India,Meghalaya,Nature,Low,18000,5,4.1,Mar-Jun & Sep-Nov,"Family, Friends","Eco-tourism, Boating, Waterfall visits, Picnicking",28
Majuli Island,India,Assam,Nature,Medium,16000,4,4.1,Mar-Jun & Sep-Nov,"Friends, Solo","Boating, Bird watching, Nature walks, Sightseeing, Camping",51
Sundarbans National Park,India,West Bengal,Wildlife,Medium,13500,2,4.4,Nov-Apr,"Family, Adventure","Wildlife spotting, Camping, Bird watching, Nature photography, Guided nature trails",65
Kaziranga National Park,India,Assam,Wildlife,Medium,13500,2,4.3,Nov-Apr,"Adventure, Family","Bird watching, Boat safari, Camping, Wildlife spotting, Guided nature trails",59
Jim Corbett National Park,India,Uttarakhand,Wildlife,Medium,13500,3,4.5,Nov-Apr,"Friends, Family","Camping, Bird watching, Nature photography, Boat safari, Guided nature trails, Wildlife spotting",93
Ranthambore National Park,India,Rajasthan,Wildlife,Medium,12000,2,4.7,Oct-Mar,"Friends, Family, Adventure","Guided nature trails, Camping, Bird watching, Wildlife spotting, Boat safari, Nature photography",83
Bandhavgarh National Park,India,Madhya Pradesh,Wildlife,Medium,13500,2,4.0,Nov-Apr,"Friends, Adventure","Bird watching, Boat safari, Camping, Guided nature trails, Nature photography, Wildlife spotting",73
Kanha National Park,India,Madhya Pradesh,Wildlife,Medium,13500,2,4.0,Nov-Apr,"Family, Adventure, Friends","Bird watching, Nature photography, Boat safari, Wildlife spotting, Camping",81
Gir National Park,India,Gujarat,Wildlife,Low,14000,4,4.3,Oct-Mar,"Adventure, Friends","Wildlife spotting, Bird watching, Camping, Boat safari, Guided nature trails",69
Periyar Wildlife Sanctuary,India,Kerala,Wildlife,Medium,17000,3,4.3,Nov-Apr,"Family, Friends","Guided nature trails, Camping, Boat safari, Bird watching",62
Pench National Park,India,Madhya Pradesh,Wildlife,Low,7500,2,3.6,Nov-Apr,"Friends, Family","Guided nature trails, Jungle safari, Boat safari, Nature photography",30
Wayanad,India,Kerala,Nature,Medium,24000,3,4.0,Oct-Mar,"Couple, Family, Solo, Friends","Photography, Picnicking, Bird watching, Trekking, Waterfall visits, Eco-tourism",56
Kodagu Backwaters,India,Karnataka,Nature,Medium,16000,4,3.7,Oct-Mar,"Couple, Solo, Friends","Sightseeing, Bird watching, Nature walks, Camping, Picnicking",48
Rann of Kutch,India,Gujarat,Nature,Medium,11500,2,4.1,Oct-Mar,"Family, Friends, Solo, Couple","Bird watching, Nature walks, Eco-tourism, Trekking, Sightseeing, Boating",71
Khonoma Village,India,Nagaland,Nature,Low,11000,3,3.6,Mar-Jun & Sep-Nov,"Friends, Solo, Family, Couple","Picnicking, Camping, Boating, Sightseeing, Photography, Waterfall visits",49
Rishikesh,India,Uttarakhand,Adventure,Medium,29000,4,4.7,Mar-Jun & Sep-Nov,"Friends, Solo, Adventure","Trekking, Zip-lining, Paragliding, Mountain biking, Off-roading, River rafting",94
Bir Billing,India,Himachal Pradesh,Adventure,Medium,22000,3,4.5,Mar-Jun & Sep-Nov,"Friends, Adventure","Skydiving, Paragliding, Bungee jumping, Trekking",68
Manali Solang Valley,India,Himachal Pradesh,Adventure,Medium,37000,6,4.3,Mar-Jun & Sep-Nov,"Adventure, Friends","Off-roading, Mountain biking, Rock climbing, Camping, Zip-lining, Skydiving",70
Leh-Ladakh Biking Circuit,India,Ladakh,Adventure,Medium,22000,3,4.1,Mar-Jun & Sep-Nov,"Solo, Adventure, Friends","Rock climbing, Mountain biking, Camping, Trekking",67
Zanskar Valley,India,Ladakh,Adventure,Low,23500,6,3.8,Mar-Jun & Sep-Nov,"Adventure, Friends, Solo","Camping, Zip-lining, River rafting, Paragliding, Bungee jumping, Trekking",51
Andaman Scuba Diving (Havelock),India,Andaman and Nicobar Islands,Adventure,Medium,25000,5,4.4,Oct-Mar,"Adventure, Friends, Solo","Zip-lining, Paragliding, Mountain biking, Rock climbing, Skydiving, Trekking",75
Goa Water Sports (Baga),India,Goa,Adventure,Medium,25000,5,4.4,Oct-Mar,"Adventure, Friends","Camping, Bungee jumping, Trekking, Zip-lining",72
Auli Skiing Circuit,India,Uttarakhand,Adventure,Medium,17500,3,3.8,Mar-Jun & Sep-Nov,"Friends, Adventure, Solo","River rafting, Skydiving, Zip-lining, Mountain biking, Paragliding, Bungee jumping",52
Coorg River Rafting (Barapole),India,Karnataka,Adventure,Low,23500,6,4.2,Oct-Mar,"Adventure, Friends","Off-roading, Rock climbing, Trekking, Skydiving, River rafting, Zip-lining",27
Agra (Taj Mahal),India,Uttar Pradesh,Heritage,Medium,14000,3,4.8,Oct-Mar,"Family, Friends","Photography, Fort and palace visits, Shopping for handicrafts, Sightseeing, Guided heritage walks, Museum visits",94
Fatehpur Sikri,India,Uttar Pradesh,Heritage,Medium,19500,4,4.2,Oct-Mar,"Friends, Family, Solo","Sightseeing, Photography, Guided heritage walks, Fort and palace visits",61
Jaipur,India,Rajasthan,Heritage,Medium,14000,3,4.3,Oct-Mar,"Solo, Family, Friends","Sightseeing, Shopping for handicrafts, Museum visits, Guided heritage walks",87
Udaipur,India,Rajasthan,Heritage,Medium,14000,3,4.4,Oct-Mar,"Friends, Family","Sightseeing, Shopping for handicrafts, Museum visits, Fort and palace visits, Photography, Guided heritage walks",97
Jodhpur,India,Rajasthan,Heritage,High,38000,4,4.3,Oct-Mar,"Family, Solo, Friends","Sightseeing, Local cuisine tasting, Guided heritage walks, Museum visits, Shopping for handicrafts",91
Jaisalmer,India,Rajasthan,Heritage,Medium,12500,2,4.0,Oct-Mar,"Friends, Solo, Family","Museum visits, Fort and palace visits, Sightseeing, Local cuisine tasting, Shopping for handicrafts, Photography",67
Chittorgarh,India,Rajasthan,Heritage,Low,17000,4,4.0,Oct-Mar,"Friends, Solo, Family","Guided heritage walks, Shopping for handicrafts, Photography, Sightseeing, Local cuisine tasting, Museum visits",28
Bikaner,India,Rajasthan,Heritage,Low,14000,3,4.1,Oct-Mar,"Solo, Friends, Family","Guided heritage walks, Local cuisine tasting, Sightseeing, Photography",42
Hampi,India,Karnataka,Heritage,Low,10500,3,4.5,Oct-Mar,"Family, Friends, Solo","Fort and palace visits, Shopping for handicrafts, Guided heritage walks, Local cuisine tasting, Museum visits, Photography",73
Mysore,India,Karnataka,Heritage,Medium,12500,2,4.5,Oct-Mar,"Family, Solo","Fort and palace visits, Photography, Local cuisine tasting, Museum visits, Shopping for handicrafts, Guided heritage walks",74
Khajuraho,India,Madhya Pradesh,Heritage,Medium,12500,2,4.1,Oct-Mar,"Family, Solo, Friends","Guided heritage walks, Sightseeing, Photography, Local cuisine tasting, Museum visits",66
Orchha,India,Madhya Pradesh,Heritage,Low,17000,4,3.5,Oct-Mar,"Solo, Friends, Family","Sightseeing, Local cuisine tasting, Guided heritage walks, Shopping for handicrafts, Fort and palace visits",49
Gwalior,India,Madhya Pradesh,Heritage,Low,17000,4,4.0,Oct-Mar,"Family, Solo","Fort and palace visits, Sightseeing, Museum visits, Guided heritage walks, Photography, Shopping for handicrafts",44
Mahabalipuram,India,Tamil Nadu,Heritage,Medium,19500,4,4.4,Oct-Mar,"Family, Solo, Friends","Local cuisine tasting, Guided heritage walks, Museum visits, Photography, Sightseeing, Shopping for handicrafts",67
Konark,India,Odisha,Heritage,Medium,12500,2,4.4,Oct-Mar,"Family, Solo","Museum visits, Local cuisine tasting, Guided heritage walks, Sightseeing",82
Ajanta and Ellora Caves,India,Maharashtra,Heritage,Medium,19500,4,4.4,Oct-Mar,"Solo, Friends, Family","Local cuisine tasting, Guided heritage walks, Museum visits, Shopping for handicrafts, Sightseeing",72
Hyderabad (Golconda & Charminar),India,Telangana,Heritage,Medium,14000,3,5.0,Oct-Mar,"Friends, Family","Local cuisine tasting, Sightseeing, Museum visits, Guided heritage walks, Fort and palace visits, Shopping for handicrafts",100
Champaner-Pavagadh,India,Gujarat,Heritage,Low,14000,3,3.6,Oct-Mar,"Solo, Friends, Family","Guided heritage walks, Fort and palace visits, Shopping for handicrafts, Photography, Sightseeing, Local cuisine tasting",47
Varanasi,India,Uttar Pradesh,Religious,Medium,13000,2,4.9,Oct-Mar,"Family, Solo","Aarti ceremony, Sightseeing, Temple visits, Spiritual retreats, Meditation, Local prasad tasting",85
Haridwar,India,Uttarakhand,Religious,Medium,25000,3,5.0,Oct-Mar,"Family, Religious","Pilgrimage rituals, Spiritual retreats, Aarti ceremony, Local prasad tasting, Meditation",100
Rishikesh Ashrams Circuit,India,Uttarakhand,Religious,Medium,13500,2,4.4,Oct-Mar,"Solo, Religious","Aarti ceremony, Pilgrimage rituals, Meditation, Temple visits, Sightseeing, Local prasad tasting",69
Vaishno Devi (Katra),India,Jammu and Kashmir,Religious,Medium,25000,3,4.9,Oct-Mar,"Religious, Family, Solo","Sightseeing, Meditation, Temple visits, Spiritual retreats, Pilgrimage rituals",100
Amritsar (Golden Temple),India,Punjab,Religious,High,13500,1,5.0,Oct-Mar,"Solo, Family, Religious","Local prasad tasting, Meditation, Spiritual retreats, Pilgrimage rituals",88
Tirupati,India,Andhra Pradesh,Religious,Medium,25000,3,4.6,Oct-Mar,"Family, Religious","Meditation, Local prasad tasting, Temple visits, Aarti ceremony, Pilgrimage rituals",85
Shirdi,India,Maharashtra,Religious,Medium,25000,3,4.4,Oct-Mar,"Solo, Family, Religious","Meditation, Local prasad tasting, Sightseeing, Aarti ceremony, Spiritual retreats, Temple visits",95
Puri (Jagannath Temple),India,Odisha,Religious,Medium,9000,1,4.1,Oct-Mar,"Solo, Family","Local prasad tasting, Spiritual retreats, Sightseeing, Meditation, Temple visits",79
Bodh Gaya,India,Bihar,Religious,Medium,13500,2,4.1,Oct-Mar,"Family, Solo","Sightseeing, Pilgrimage rituals, Meditation, Local prasad tasting, Temple visits, Aarti ceremony",76
Ajmer Sharif,India,Rajasthan,Religious,Medium,9000,1,4.4,Oct-Mar,"Solo, Religious","Spiritual retreats, Pilgrimage rituals, Temple visits, Meditation, Local prasad tasting, Aarti ceremony",64
Rameswaram,India,Tamil Nadu,Religious,Medium,13500,2,4.5,Oct-Mar,"Solo, Family","Pilgrimage rituals, Spiritual retreats, Sightseeing, Local prasad tasting, Aarti ceremony",70
Dwarka,India,Gujarat,Religious,Medium,20500,3,4.2,Oct-Mar,"Solo, Religious, Family","Local prasad tasting, Spiritual retreats, Meditation, Sightseeing, Temple visits, Aarti ceremony",76
Madurai (Meenakshi Temple),India,Tamil Nadu,Religious,Medium,13500,2,4.4,Oct-Mar,"Family, Solo","Spiritual retreats, Pilgrimage rituals, Sightseeing, Temple visits, Meditation",78
Kedarnath,India,Uttarakhand,Religious,Medium,13500,2,4.1,Oct-Mar,"Solo, Family, Religious","Aarti ceremony, Spiritual retreats, Temple visits, Meditation",65
Badrinath,India,Uttarakhand,Religious,Medium,9000,1,4.0,Oct-Mar,"Solo, Family, Religious","Temple visits, Pilgrimage rituals, Sightseeing, Meditation",71
Somnath,India,Gujarat,Religious,Medium,13500,2,4.2,Oct-Mar,"Religious, Family","Pilgrimage rituals, Local prasad tasting, Temple visits, Spiritual retreats, Sightseeing",57
Guruvayur,India,Kerala,Religious,Low,14500,3,4.0,Oct-Mar,"Religious, Family","Aarti ceremony, Sightseeing, Local prasad tasting, Pilgrimage rituals, Meditation",33
Pushkar,India,Rajasthan,Religious,Medium,9000,1,4.4,Oct-Mar,"Solo, Religious, Family","Aarti ceremony, Meditation, Local prasad tasting, Pilgrimage rituals, Sightseeing, Temple visits",77
Sabarimala,India,Kerala,Religious,Medium,12000,2,3.6,Oct-Mar,"Family, Religious","Temple visits, Local prasad tasting, Sightseeing, Spiritual retreats, Aarti ceremony, Meditation",54
Udaipur Palace Retreats,India,Rajasthan,Luxury,High,45500,6,4.4,Oct-Mar,"Business, Honeymoon, Couple, Family","Spa and wellness, Shopping, Houseboat stay, Private tours",100
Alleppey Backwaters Houseboat,India,Kerala,Luxury,High,30000,4,4.4,Oct-Mar,"Family, Business","Wine tasting, Spa and wellness, Shopping, Yacht cruise, Fine dining",86
Jaipur Heritage Hotels,India,Rajasthan,Luxury,High,53500,5,4.0,Oct-Mar,"Honeymoon, Family, Business","Spa and wellness, Houseboat stay, Wine tasting, Yacht cruise, Private tours, Shopping",81
Goa Luxury Resorts (Candolim),India,Goa,Luxury,High,35500,3,3.9,Oct-Mar,"Honeymoon, Family, Business, Couple","Fine dining, Heritage stay, Spa and wellness, Wine tasting, Shopping, Private tours",57
Coorg Luxury Plantation Stays,India,Karnataka,Luxury,High,34000,5,3.8,Oct-Mar,"Family, Couple, Honeymoon","Heritage stay, Spa and wellness, Fine dining, Houseboat stay, Yacht cruise, Shopping",52
Ranthambore Luxury Safari Lodges,India,Rajasthan,Luxury,High,34000,5,3.7,Oct-Mar,"Honeymoon, Family, Business, Couple","Heritage stay, Shopping, Wine tasting, Private tours",26
Mumbai,India,Maharashtra,City,High,45000,4,4.6,Oct-Mar,"Family, Business","Shopping, Local markets exploration, Museum visits, Theme parks",98
Delhi,India,Delhi,City,Medium,13500,3,4.7,Oct-Mar,"Couple, Family, Solo","City tours, Local markets exploration, Nightlife, Local cuisine tasting, Theme parks, Shopping",92
Bangalore,India,Karnataka,City,High,25500,2,4.9,Oct-Mar,"Couple, Family, Business, Friends","Sightseeing, Theme parks, Shopping, Museum visits, Local markets exploration, Local cuisine tasting",100
Kolkata,India,West Bengal,City,High,25500,2,4.7,Oct-Mar,"Family, Business, Couple, Solo","Sightseeing, Local markets exploration, Nightlife, Local cuisine tasting, Theme parks",83
Chennai,India,Tamil Nadu,City,High,45000,4,4.8,Oct-Mar,"Family, Solo, Business, Couple","Sightseeing, Shopping, Museum visits, Local cuisine tasting",97
Pune,India,Maharashtra,City,Medium,22000,4,4.3,Oct-Mar,"Business, Solo","Sightseeing, Local cuisine tasting, City tours, Museum visits, Local markets exploration, Shopping",80
Ahmedabad,India,Gujarat,City,Medium,18000,3,4.5,Oct-Mar,"Family, Business, Solo","Museum visits, Local cuisine tasting, Local markets exploration, City tours, Shopping, Sightseeing",58
Chandigarh,India,Punjab,City,Medium,18000,3,4.1,Oct-Mar,"Family, Solo","Sightseeing, Nightlife, Local cuisine tasting, Local markets exploration",71
Lucknow,India,Uttar Pradesh,City,Medium,14500,2,4.1,Oct-Mar,"Couple, Solo","Local cuisine tasting, City tours, Sightseeing, Theme parks, Shopping",81
Surat,India,Gujarat,City,Low,8500,2,4.0,Oct-Mar,"Couple, Solo","Shopping, City tours, Nightlife, Museum visits, Local markets exploration, Local cuisine tasting",55
Indore,India,Madhya Pradesh,City,Medium,13000,3,3.5,Oct-Mar,"Solo, Family","Museum visits, Local markets exploration, Nightlife, Sightseeing, Local cuisine tasting",24
Pondicherry,India,Puducherry,Cultural,Low,16000,3,4.0,Oct-Mar,"Solo, Family, Couple, Friends","Art and craft workshops, Museum visits, Cultural performances, Heritage walks",58
Kutch Rann Utsav,India,Gujarat,Cultural,Low,12000,2,4.3,Oct-Mar,"Couple, Solo, Friends","Sightseeing, Museum visits, Art and craft workshops, Local festivals",69
Kochi (Fort Kochi),India,Kerala,Cultural,Low,18000,4,4.2,Oct-Mar,"Solo, Friends, Family","Museum visits, Cultural performances, Local festivals, Heritage walks",83
Thanjavur,India,Tamil Nadu,Cultural,Medium,18500,4,3.8,Oct-Mar,"Couple, Family, Friends","Cuisine tasting, Art and craft workshops, Cultural performances, Sightseeing, Local festivals",54
Bishnupur,India,West Bengal,Cultural,Low,10500,2,4.1,Oct-Mar,"Solo, Couple, Family, Friends","Museum visits, Art and craft workshops, Local festivals, Sightseeing, Cultural performances",27
Kumbhalgarh,India,Rajasthan,Cultural,Medium,18500,4,4.0,Oct-Mar,"Couple, Family, Friends","Cuisine tasting, Museum visits, Cultural performances, Sightseeing",36
Mahabaleshwar,India,Maharashtra,Nature,Medium,26500,5,4.2,Oct-Mar,"Friends, Family","Photography, Eco-tourism, Sightseeing, Bird watching, Boating, Waterfall visits",62
Lonavala,India,Maharashtra,Nature,Medium,11500,2,4.3,Oct-Mar,"Couple, Family, Friends, Solo","Picnicking, Photography, Sightseeing, Trekking, Waterfall visits",63
Matheran,India,Maharashtra,Nature,Low,18000,5,3.6,Oct-Mar,"Friends, Couple, Family","Eco-tourism, Boating, Nature walks, Camping, Bird watching",36
Panchgani,India,Maharashtra,Nature,Medium,13000,2,3.5,Oct-Mar,"Solo, Friends, Family, Couple","Boating, Picnicking, Bird watching, Waterfall visits, Nature walks",45
Srinagar (Dal Lake),India,Jammu and Kashmir,Luxury,High,45500,6,4.7,Oct-Mar,"Honeymoon, Business, Family, Couple","Wine tasting, Fine dining, Shopping, Houseboat stay, Spa and wellness, Private tours",91
Gulmarg,India,Jammu and Kashmir,Mountain,Medium,38000,6,4.4,Mar-Jun & Sep-Nov,"Couple, Friends, Solo","Bonfire nights, Paragliding, Skiing, Photography, Cable car rides",74
Pahalgam,India,Jammu and Kashmir,Mountain,Medium,27000,4,4.2,Mar-Jun & Sep-Nov,"Couple, Family, Solo, Adventure","Camping, Cable car rides, Skiing, Trekking, Local sightseeing, Nature walks",63
Sonmarg,India,Jammu and Kashmir,Mountain,Low,15000,6,4.0,Mar-Jun & Sep-Nov,"Couple, Solo, Friends, Family","Nature walks, Local sightseeing, Bonfire nights, Trekking, Valley sightseeing, Paragliding",58
Dubai,UAE,Dubai,City,High,99000,3,4.4,Nov-Mar,"Couple, Business, Friends","Local markets exploration, Sightseeing, City tours, Museum visits",96
Abu Dhabi,UAE,Abu Dhabi,City,High,55000,2,4.9,Nov-Mar,"Couple, Family, Business, Friends","Theme parks, Shopping, City tours, Museum visits, Local markets exploration",93
Sharjah,UAE,Sharjah,Cultural,Medium,60000,4,4.0,Nov-Mar,"Solo, Friends","Cultural performances, Sightseeing, Art and craft workshops, Cuisine tasting, Local festivals",37
Ras Al Khaimah,UAE,Ras Al Khaimah,Adventure,Medium,78500,6,4.2,Nov-Mar,"Adventure, Friends, Solo","Mountain biking, Bungee jumping, River rafting, Zip-lining",71
Fujairah,UAE,Fujairah,Beach,Low,51000,4,3.9,Nov-Mar,"Couple, Honeymoon","Seafood tasting, Beach parties, Scuba diving, Sunset cruise",46
Al Ain,UAE,Abu Dhabi Emirate,Heritage,Medium,56000,4,3.8,Nov-Mar,"Solo, Friends, Family","Fort and palace visits, Museum visits, Local cuisine tasting, Shopping for handicrafts, Photography, Sightseeing",55
Bangkok,Thailand,Bangkok,City,High,68000,2,4.6,Nov-Feb,"Solo, Friends, Couple","City tours, Sightseeing, Museum visits, Local markets exploration, Theme parks, Nightlife",90
